=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 14건 (11승 3패)
총 수익금: +246,727원 (+24.7%)
  ㄴ 승리 수익: +303,936원 (실제 수익률 합계)
  ㄴ 손실 금액: -57,209원 (실제 손실률 합계)

=== 총 승패: 11승 3패 ===
=== selection_date 이후 승패: 11승 3패 ===
=== 📊 최대 동시 보유 종목 수: 8개 ===
=== 🌅 12시 이전 매수 종목: 11승 3패 (승률 78.6%) ===
총 수익금: +246,727원 (+24.7%)
  ㄴ 승리 수익: +303,936원
  ㄴ 손실 금액: -57,209원

   🟢 064820 09:30 매수 → +3.50%
   🟢 099410 09:30 매수 → +3.50%
   🟢 086390 09:36 매수 → +1.96%
   🟢 499790 09:48 매수 → +1.68%
   🟢 073010 09:54 매수 → +3.50%
   🟢 014940 10:06 매수 → +3.50%
   🟢 099410 10:06 매수 → +3.50%
   🔴 092460 10:25 매수 → -2.50%
   🔴 475960 10:33 매수 → -0.72%
   🟢 380550 10:54 매수 → +3.50%
   🟢 054540 11:09 매수 → +1.52%
   🟢 073010 11:11 매수 → +3.50%
   🔴 014940 11:30 매수 → -2.50%
   🟢 084990 11:30 매수 → +0.74%

=== 032820 - 20250904 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-04 09:28:12
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:4,165 | 거래량:3,096,512 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:4,175 | 거래량:2,068,282 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:4,275 | 거래량:4,083,417 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:4,350 | 거래량:3,339,718 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:4,420 | 거래량:4,799,159 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:4,385 | 거래량:3,429,262 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:4,410 | 거래량:2,194,615 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:4,425 | 거래량:1,976,255 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:4,400 | 거래량:1,273,572 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:4,375 | 거래량:2,146,495 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:4,310 | 거래량:2,109,361 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:4,260 | 거래량:2,802,110 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:4,260 | 거래량:2,127,388 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:4,270 | 거래량:1,208,317 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:4,257 | 거래량:1,162,774 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:4,245 | 거래량:1,397,637 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:4,240 | 거래량:578,589 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:4,270 | 거래량:853,900 | 🟢강매수 | 신뢰도:86%
    10:06→10:09: 종가:4,295 | 거래량:1,100,570 | 🟢강매수 | 신뢰도:87%
    10:09→10:12: 종가:4,265 | 거래량:761,006 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:4,240 | 거래량:512,325 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:4,245 | 거래량:483,474 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:4,255 | 거래량:275,647 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:4,235 | 거래량:425,561 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:4,235 | 거래량:899,284 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:4,250 | 거래량:291,846 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:4,245 | 거래량:191,623 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:33→10:36: 종가:4,230 | 거래량:229,525 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:36→10:39: 종가:4,250 | 거래량:177,216 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:39→10:42: 종가:4,255 | 거래량:302,663 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:42→10:45: 종가:4,235 | 거래량:160,578 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:4,230 | 거래량:110,600 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:48→10:51: 종가:4,225 | 거래량:218,562 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:51→10:54: 종가:4,225 | 거래량:193,405 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:54→10:57: 종가:4,215 | 거래량:271,491 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:57→11:00: 종가:4,240 | 거래량:549,562 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:00→11:03: 종가:4,230 | 거래량:166,435 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:03→11:06: 종가:4,235 | 거래량:94,172 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:06→11:09: 종가:4,225 | 거래량:134,940 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:09→11:12: 종가:4,215 | 거래량:131,467 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:12→11:15: 종가:4,210 | 거래량:176,522 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:15→11:18: 종가:4,205 | 거래량:766,654 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:18→11:21: 종가:4,185 | 거래량:368,430 | 🔴회피(이등분선아래) | 신뢰도:0%
    11:21→11:24: 종가:4,180 | 거래량:177,503 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:24→11:27: 종가:4,190 | 거래량:449,355 | 🔴회피(이등분선아래) | 신뢰도:0%
    11:27→11:30: 종가:4,185 | 거래량:239,099 | 🔴회피(이등분선아래) | 신뢰도:0%
    11:30→11:33: 종가:4,195 | 거래량:125,579 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:33→11:36: 종가:4,200 | 거래량:254,509 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:36→11:39: 종가:4,210 | 거래량:115,010 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:39→11:42: 종가:4,200 | 거래량:140,690 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:42→11:45: 종가:4,195 | 거래량:133,409 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:45→11:48: 종가:4,200 | 거래량:80,080 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:48→11:51: 종가:4,185 | 거래량:109,379 | 🔴회피(이등분선아래) | 신뢰도:0%
    11:51→11:54: 종가:4,195 | 거래량:156,836 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:54→11:57: 종가:4,200 | 거래량:77,083 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:57→12:00: 종가:4,205 | 거래량:128,699 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:4,205 | 거래량:50,089 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:4,215 | 거래량:101,806 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:4,210 | 거래량:227,463 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:09→12:12: 종가:4,220 | 거래량:78,231 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:12→12:15: 종가:4,210 | 거래량:178,642 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:15→12:18: 종가:4,225 | 거래량:96,625 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:18→12:21: 종가:4,227 | 거래량:268,408 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:21→12:24: 종가:4,210 | 거래량:174,658 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:24→12:27: 종가:4,195 | 거래량:214,432 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:27→12:30: 종가:4,205 | 거래량:138,251 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:30→12:33: 종가:4,190 | 거래량:120,224 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:33→12:36: 종가:4,190 | 거래량:61,558 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:36→12:39: 종가:4,190 | 거래량:79,497 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:39→12:42: 종가:4,200 | 거래량:71,798 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:42→12:45: 종가:4,220 | 거래량:170,818 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:45→12:48: 종가:4,215 | 거래량:91,569 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:48→12:51: 종가:4,215 | 거래량:112,567 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:51→12:54: 종가:4,255 | 거래량:747,416 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:54→12:57: 종가:4,235 | 거래량:613,835 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:57→13:00: 종가:4,245 | 거래량:247,244 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:00→13:03: 종가:4,220 | 거래량:251,450 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:03→13:06: 종가:4,230 | 거래량:83,921 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:06→13:09: 종가:4,215 | 거래량:93,891 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:09→13:12: 종가:4,220 | 거래량:120,493 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:12→13:15: 종가:4,240 | 거래량:186,296 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:15→13:18: 종가:4,220 | 거래량:182,028 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:18→13:21: 종가:4,200 | 거래량:172,158 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:21→13:24: 종가:4,225 | 거래량:165,890 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:24→13:27: 종가:4,215 | 거래량:85,876 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:27→13:30: 종가:4,215 | 거래량:79,231 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:30→13:33: 종가:4,220 | 거래량:75,268 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:33→13:36: 종가:4,215 | 거래량:61,673 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:36→13:39: 종가:4,215 | 거래량:104,092 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:39→13:42: 종가:4,235 | 거래량:262,280 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:42→13:45: 종가:4,225 | 거래량:73,536 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:45→13:48: 종가:4,235 | 거래량:63,837 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:48→13:51: 종가:4,230 | 거래량:47,475 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:51→13:54: 종가:4,230 | 거래량:80,492 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:54→13:57: 종가:4,235 | 거래량:499,914 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    13:57→14:00: 종가:4,240 | 거래량:76,824 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:00→14:03: 종가:4,260 | 거래량:246,335 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:03→14:06: 종가:4,250 | 거래량:280,921 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:06→14:09: 종가:4,250 | 거래량:105,924 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:09→14:12: 종가:4,245 | 거래량:97,821 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:12→14:15: 종가:4,240 | 거래량:112,592 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:15→14:18: 종가:4,235 | 거래량:175,061 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:18→14:21: 종가:4,250 | 거래량:137,112 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:21→14:24: 종가:4,245 | 거래량:125,323 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:24→14:27: 종가:4,250 | 거래량:70,556 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:27→14:30: 종가:4,260 | 거래량:404,555 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:30→14:33: 종가:4,255 | 거래량:91,728 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:33→14:36: 종가:4,250 | 거래량:183,966 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:36→14:39: 종가:4,240 | 거래량:79,289 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:39→14:42: 종가:4,220 | 거래량:212,499 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:42→14:45: 종가:4,230 | 거래량:194,217 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:45→14:48: 종가:4,220 | 거래량:207,652 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:48→14:51: 종가:4,225 | 거래량:78,155 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:51→14:54: 종가:4,220 | 거래량:229,867 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:54→14:57: 종가:4,220 | 거래량:231,705 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:57→15:00: 종가:4,215 | 거래량:146,519 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:00→15:03: 종가:4,190 | 거래량:661,865 | 🔴회피(이등분선아래) | 신뢰도:0%
    15:03→15:06: 종가:4,185 | 거래량:366,929 | 🔴회피(이등분선아래) | 신뢰도:0%
    15:06→15:09: 종가:4,195 | 거래량:183,968 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:09→15:12: 종가:4,180 | 거래량:360,127 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:12→15:15: 종가:4,180 | 거래량:532,686 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:15→15:18: 종가:4,180 | 거래량:247,771 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:18→15:21: 종가:4,185 | 거래량:217,424 | 🔴회피(이등분선아래) | 신뢰도:0%

=== 476060 - 20250904 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-04 09:28:12
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    10:30→10:33: 데이터부족
    10:33→10:36: 데이터부족
    10:36→10:39: 데이터부족
    10:39→10:42: 종가:7,825 | 거래량:172,544 | 🔴회피(4단계패턴없음) | 신뢰도:0%
