=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 8건 (4승 4패)
총 수익금: +18,018원 (+1.8%)
  ㄴ 승리 수익: +101,668원 (실제 수익률 합계)
  ㄴ 손실 금액: -83,650원 (실제 손실률 합계)

=== 총 승패: 4승 4패 ===
=== selection_date 이후 승패: 4승 4패 ===
=== 📊 최대 동시 보유 종목 수: 6개 ===
=== 🌅 12시 이전 매수 종목: 4승 4패 (승률 50.0%) ===
총 수익금: +18,018원 (+1.8%)
  ㄴ 승리 수익: +101,668원
  ㄴ 손실 금액: -83,650원

   🔴 201490 09:42 매수 → -2.50%
   🔴 099410 10:07 매수 → -2.50%
   🟢 201490 10:18 매수 → +3.50%
   🔴 199430 10:45 매수 → -2.50%
   🟢 067310 10:57 매수 → +2.70%
   🟢 222800 11:09 매수 → +3.50%
   🔴 007660 11:30 매수 → -0.87%
   🟢 082270 11:59 매수 → +0.47%

=== 023790 - 20250909 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-09 09:04:47
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:3,640 | 거래량:6,109 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:3,640 | 거래량:122,285 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:3,640 | 거래량:3,510 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:3,640 | 거래량:3,658 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:3,640 | 거래량:4,687 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:3,640 | 거래량:4,211 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:3,640 | 거래량:2,850 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:3,640 | 거래량:1,959 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:3,640 | 거래량:1,197 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:3,640 | 거래량:417 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:3,640 | 거래량:294 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:3,640 | 거래량:4,852 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:3,640 | 거래량:58,443 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:3,640 | 거래량:1,204 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:3,640 | 거래량:166 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:3,640 | 거래량:3 | 🔴회피(4단계패턴없음) | 신뢰도:0%
