=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 13건 (10승 3패)
총 수익금: +247,766원 (+24.8%)
  ㄴ 승리 수익: +299,782원 (실제 수익률 합계)
  ㄴ 손실 금액: -52,016원 (실제 손실률 합계)

=== 총 승패: 10승 3패 ===
=== selection_date 이후 승패: 10승 3패 ===
=== 📊 최대 동시 보유 종목 수: 8개 ===
=== 🌅 12시 이전 매수 종목: 10승 3패 (승률 76.9%) ===
총 수익금: +247,766원 (+24.8%)
  ㄴ 승리 수익: +299,782원
  ㄴ 손실 금액: -52,016원

   🟢 049470 09:30 매수 → +3.50%
   🟢 010170 09:33 매수 → +3.50%
   🔴 168360 09:39 매수 → -2.50%
   🟢 240810 09:48 매수 → +1.42%
   🟢 356860 09:48 매수 → +3.50%
   🔴 067310 09:57 매수 → -0.20%
   🟢 073010 09:57 매수 → +3.50%
   🟢 010170 10:09 매수 → +3.50%
   🟢 082270 10:15 매수 → +0.56%
   🔴 054540 10:30 매수 → -2.50%
   🟢 010170 10:54 매수 → +3.50%
   🟢 014280 11:12 매수 → +3.50%
   🟢 053260 11:52 매수 → +3.50%

=== 049470 - 20250910 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-10 09:05:44
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    09:30 [pullback_pattern]
  체결 시뮬레이션:
    09:30 매수[pullback_pattern] @3,650 → 09:40 매도[profit_3.5pct] @3,778 (+3.50%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:3,600 | 거래량:1,039,545 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:3,640 | 거래량:430,009 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:3,605 | 거래량:315,556 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:3,580 | 거래량:246,145 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:3,610 | 거래량:170,407 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:3,660 | 거래량:328,326 | 🟢강매수 | 신뢰도:87% | 💰매수@3,650 | →09:40매도@3,778
    09:30→09:33: 종가:3,710 | 거래량:359,341 | 🟢강매수 | 신뢰도:87%
    09:33→09:36: 종가:3,685 | 거래량:305,635 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:3,725 | 거래량:280,298 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:3,785 | 거래량:343,689 | 🟢강매수 | 신뢰도:89%
    09:42→09:45: 종가:3,890 | 거래량:977,278 | 🔴회피(시가대비24.1%상승(22%이상차단)) | 신뢰도:0%
    09:45→09:48: 종가:3,810 | 거래량:760,261 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    09:48→09:51: 종가:3,795 | 거래량:194,068 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:3,795 | 거래량:236,944 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:3,825 | 거래량:113,894 | 🔴회피(시가대비22.0%상승(22%이상차단)) | 신뢰도:0%
    09:57→10:00: 종가:3,825 | 거래량:257,286 | 🔴회피(시가대비22.0%상승(22%이상차단)) | 신뢰도:0%
    10:00→10:03: 종가:3,865 | 거래량:171,569 | 🔴회피(시가대비23.3%상승(22%이상차단)) | 신뢰도:0%
    10:03→10:06: 종가:3,870 | 거래량:213,043 | 🔴회피(시가대비23.4%상승(22%이상차단)) | 신뢰도:0%
    10:06→10:09: 종가:3,770 | 거래량:284,573 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:3,810 | 거래량:143,185 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:3,840 | 거래량:163,670 | 🔴회피(시가대비22.5%상승(22%이상차단)) | 신뢰도:0%
    10:15→10:18: 종가:3,945 | 거래량:257,643 | 🔴회피(시가대비25.8%상승(22%이상차단)) | 신뢰도:0%
    10:18→10:21: 종가:3,905 | 거래량:325,871 | 🔴회피(시가대비24.6%상승(22%이상차단)) | 신뢰도:0%
    10:21→10:24: 종가:3,870 | 거래량:195,941 | 🔴회피(시가대비23.4%상승(22%이상차단)) | 신뢰도:0%
    10:24→10:27: 종가:3,920 | 거래량:96,776 | 🔴회피(시가대비25.0%상승(22%이상차단)) | 신뢰도:0%
    10:27→10:30: 종가:3,915 | 거래량:161,271 | 🔴회피(시가대비24.9%상승(22%이상차단)) | 신뢰도:0%
    10:30→10:33: 종가:3,895 | 거래량:262,688 | 🔴회피(시가대비24.2%상승(22%이상차단)) | 신뢰도:0%
    10:33→10:36: 종가:3,895 | 거래량:187,014 | 🔴회피(시가대비24.2%상승(22%이상차단)) | 신뢰도:0%
    10:36→10:39: 종가:3,875 | 거래량:60,808 | 🔴회피(시가대비23.6%상승(22%이상차단)) | 신뢰도:0%
    10:39→10:42: 종가:3,865 | 거래량:189,329 | 🔴회피(시가대비23.3%상승(22%이상차단)) | 신뢰도:0%
    10:42→10:45: 종가:3,800 | 거래량:172,274 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:3,850 | 거래량:88,888 | 🔴회피(시가대비22.8%상승(22%이상차단)) | 신뢰도:0%
