=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 10건 (5승 5패)
총 수익금: +42,279원 (+4.2%)
  ㄴ 승리 수익: +153,841원 (실제 수익률 합계)
  ㄴ 손실 금액: -111,562원 (실제 손실률 합계)

=== 총 승패: 5승 5패 ===
=== selection_date 이후 승패: 5승 5패 ===
=== 📊 최대 동시 보유 종목 수: 7개 ===
=== 🌅 12시 이전 매수 종목: 5승 5패 (승률 50.0%) ===
총 수익금: +42,279원 (+4.2%)
  ㄴ 승리 수익: +153,841원
  ㄴ 손실 금액: -111,562원

   🔴 287840 09:31 매수 → -1.16%
   🔴 099440 09:42 매수 → -2.50%
   🟢 064820 10:01 매수 → +3.50%
   🟢 336260 10:12 매수 → +3.50%
   🟢 204620 10:30 매수 → +1.38%
   🔴 064820 10:41 매수 → -2.50%
   🔴 382900 10:48 매수 → -2.50%
   🟢 327260 10:54 매수 → +3.50%
   🟢 413630 11:15 매수 → +3.50%
   🔴 103230 11:21 매수 → -2.50%

=== 452280 - 20250911 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-11 09:02:21
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:10,600 | 거래량:123,067 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:10,430 | 거래량:131,585 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:18→09:21: 종가:10,610 | 거래량:105,551 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:10,860 | 거래량:504,395 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:10,870 | 거래량:119,275 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:10,910 | 거래량:100,900 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:10,780 | 거래량:57,809 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:10,760 | 거래량:40,164 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:10,750 | 거래량:71,200 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:10,570 | 거래량:63,899 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:10,720 | 거래량:34,190 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:10,730 | 거래량:32,504 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:10,640 | 거래량:26,665 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:10,740 | 거래량:22,112 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:10,680 | 거래량:17,554 | 🔴회피(4단계패턴없음) | 신뢰도:0%
