=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 10건 (7승 3패)
총 수익금: +144,608원 (+14.5%)
  ㄴ 승리 수익: +219,608원 (실제 수익률 합계)
  ㄴ 손실 금액: -75,000원 (실제 손실률 합계)

=== 총 승패: 7승 3패 ===
=== selection_date 이후 승패: 7승 3패 ===
=== 📊 최대 동시 보유 종목 수: 6개 ===
=== 🌅 12시 이전 매수 종목: 7승 3패 (승률 70.0%) ===
총 수익금: +144,608원 (+14.5%)
  ㄴ 승리 수익: +219,608원
  ㄴ 손실 금액: -75,000원

   🟢 249420 09:58 매수 → +3.50%
   🟢 047810 10:03 매수 → +3.50%
   🔴 099320 10:18 매수 → -2.50%
   🟢 019180 10:22 매수 → +3.50%
   🔴 078350 10:30 매수 → -2.50%
   🟢 077360 10:39 매수 → +3.50%
   🟢 078350 11:12 매수 → +0.96%
   🟢 077360 11:21 매수 → +3.50%
   🔴 044480 11:27 매수 → -2.50%
   🟢 469750 11:57 매수 → +3.50%

=== 450140 - 20250917 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-17 09:10:00
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:12,980 | 거래량:1,397 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:12,980 | 거래량:4,448 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:12,980 | 거래량:7,118 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:12,980 | 거래량:16,178 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:12,980 | 거래량:8,327 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:12,980 | 거래량:4,081 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:12,980 | 거래량:4,734 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:12,980 | 거래량:3,303 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:12,980 | 거래량:472 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:12,980 | 거래량:813 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:12,980 | 거래량:1,947 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:12,980 | 거래량:878 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:12,980 | 거래량:2,692 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:12,980 | 거래량:401 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:12,980 | 거래량:153 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:12,980 | 거래량:42 | 🔴회피(4단계패턴없음) | 신뢰도:0%
