=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 9건 (6승 3패)
총 수익금: +100,811원 (+10.1%)
  ㄴ 승리 수익: +175,811원 (실제 수익률 합계)
  ㄴ 손실 금액: -75,000원 (실제 손실률 합계)

=== 총 승패: 6승 3패 ===
=== selection_date 이후 승패: 6승 3패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 6승 3패 (승률 66.7%) ===
총 수익금: +100,811원 (+10.1%)
  ㄴ 승리 수익: +175,811원
  ㄴ 손실 금액: -75,000원

   🔴 258790 09:36 매수 → -2.50%
   🟢 042520 10:00 매수 → +3.50%
   🟢 060900 10:12 매수 → +3.50%
   🟢 099320 10:15 매수 → +0.08%
   🟢 258790 10:33 매수 → +3.50%
   🔴 019990 10:36 매수 → -2.50%
   🟢 042520 10:45 매수 → +3.50%
   🔴 060900 10:51 매수 → -2.50%
   🟢 019990 11:09 매수 → +3.50%

=== 051780 - 20250924 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-24 09:34:06
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:1,148 | 거래량:526,290 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:1,161 | 거래량:501,562 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:1,152 | 거래량:408,475 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:1,150 | 거래량:307,049 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    09:24→09:27: 종가:1,233 | 거래량:617,377 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:1,280 | 거래량:633,445 | 🔴회피(시가대비25.5%상승(22%이상차단)) | 신뢰도:0%
    09:30→09:33: 종가:1,288 | 거래량:498,706 | 🔴회피(시가대비26.3%상승(22%이상차단)) | 신뢰도:0%
    09:33→09:36: 종가:1,300 | 거래량:605,559 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    09:36→09:39: 종가:1,300 | 거래량:156,243 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    09:39→09:42: 종가:1,300 | 거래량:23,292 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    09:42→09:45: 종가:1,300 | 거래량:16,418 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    09:45→09:48: 종가:1,300 | 거래량:19,627 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    09:48→09:51: 종가:1,300 | 거래량:2,862 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
