=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 6건 (3승 3패)
총 수익금: +30,000원 (+3.0%)
  ㄴ 승리 수익: +105,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -75,000원 (실제 손실률 합계)

=== 총 승패: 3승 3패 ===
=== selection_date 이후 승패: 3승 3패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 3승 3패 (승률 50.0%) ===
총 수익금: +30,000원 (+3.0%)
  ㄴ 승리 수익: +105,000원
  ㄴ 손실 금액: -75,000원

   🔴 195870 09:46 매수 → -2.50%
   🟢 105840 09:54 매수 → +3.50%
   🔴 353200 10:34 매수 → -2.50%
   🔴 199430 10:37 매수 → -2.50%
   🟢 466100 11:00 매수 → +3.50%
   🟢 006910 11:54 매수 → +3.50%

=== 466100 - 20251010 눌림목(3분) 신호 재현 ===
  selection_date: 2025-10-10 09:36:40
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    11:00 [pullback_pattern]
  체결 시뮬레이션:
    11:00 매수[pullback_pattern] @34,070 → 12:04 매도[profit_3.5pct] @35,262 (+3.50%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:29,900 | 거래량:176,868 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:30,150 | 거래량:185,112 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:31,550 | 거래량:488,134 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:31,450 | 거래량:305,982 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:31,800 | 거래량:377,649 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:32,150 | 거래량:472,659 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:31,650 | 거래량:233,777 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:32,100 | 거래량:231,163 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:33,200 | 거래량:624,077 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:32,700 | 거래량:333,670 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:33,350 | 거래량:288,507 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:33,200 | 거래량:169,372 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:33,400 | 거래량:125,825 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:33,200 | 거래량:233,143 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:33,400 | 거래량:127,620 | 🔴회피(4단계패턴없음) | 신뢰도:0%
