=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 5건 (3승 2패)
총 수익금: +55,000원 (+5.5%)
  ㄴ 승리 수익: +105,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

=== 총 승패: 3승 2패 ===
=== selection_date 이후 승패: 3승 2패 ===
=== 📊 최대 동시 보유 종목 수: 2개 ===
=== 🌅 12시 이전 매수 종목: 3승 2패 (승률 60.0%) ===
총 수익금: +55,000원 (+5.5%)
  ㄴ 승리 수익: +105,000원
  ㄴ 손실 금액: -50,000원

   🔴 215100 09:21 매수 → -2.50%
   🟢 092460 09:33 매수 → +3.50%
   🟢 010120 09:51 매수 → +3.50%
   🟢 042520 10:15 매수 → +3.50%
   🔴 047050 11:12 매수 → -2.50%

=== 051780 - 20251023 눌림목(3분) 신호 재현 ===
  selection_date: 2025-10-23 09:10:05
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:1,650 | 거래량:602,890 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:1,694 | 거래량:544,889 | 🔴회피(시가대비24.7%상승(22%이상차단)) | 신뢰도:0%
    09:18→09:21: 종가:1,657 | 거래량:327,081 | 🔴회피(시가대비22.0%상승(22%이상차단)) | 신뢰도:0%
    09:21→09:24: 종가:1,636 | 거래량:233,976 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:1,618 | 거래량:159,106 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:1,593 | 거래량:310,658 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:1,609 | 거래량:150,036 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:1,620 | 거래량:162,366 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:1,612 | 거래량:90,604 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:1,597 | 거래량:78,171 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:1,590 | 거래량:48,015 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:1,570 | 거래량:117,360 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:1,563 | 거래량:67,481 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:1,563 | 거래량:36,118 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:1,577 | 거래량:90,640 | 🟢강매수 | 신뢰도:87%
    09:57→10:00: 종가:1,573 | 거래량:56,039 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:1,584 | 거래량:29,635 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:1,590 | 거래량:57,590 | 🟢강매수 | 신뢰도:85%
    10:06→10:09: 종가:1,607 | 거래량:136,208 | 🟢강매수 | 신뢰도:88%
    10:09→10:12: 종가:1,580 | 거래량:142,429 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:1,595 | 거래량:159,564 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:1,588 | 거래량:45,961 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:1,595 | 거래량:19,920 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:1,603 | 거래량:59,882 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:1,593 | 거래량:18,449 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:1,582 | 거래량:36,647 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:1,580 | 거래량:31,908 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:33→10:36: 종가:1,573 | 거래량:31,581 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:36→10:39: 종가:1,572 | 거래량:44,431 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:39→10:42: 종가:1,590 | 거래량:39,668 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:42→10:45: 종가:1,583 | 거래량:33,921 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:1,585 | 거래량:28,451 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:48→10:51: 종가:1,576 | 거래량:31,831 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:51→10:54: 종가:1,576 | 거래량:89,565 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:54→10:57: 종가:1,578 | 거래량:92,462 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:57→11:00: 종가:1,566 | 거래량:31,279 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:00→11:03: 종가:1,566 | 거래량:18,602 | 🔴회피(4단계패턴없음) | 신뢰도:0%
