=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 9건 (2승 7패)
총 수익금: -120,375원 (-12.0%)
  ㄴ 승리 수익: +54,625원 (실제 수익률 합계)
  ㄴ 손실 금액: -175,000원 (실제 손실률 합계)

=== 총 승패: 2승 7패 ===
=== selection_date 이후 승패: 2승 7패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 2승 7패 (승률 22.2%) ===
총 수익금: -120,375원 (-12.0%)
  ㄴ 승리 수익: +54,625원
  ㄴ 손실 금액: -175,000원

   🔴 090360 09:41 매수 → -2.50%
   🔴 250930 09:46 매수 → -2.50%
   🔴 010120 09:56 매수 → -2.50%
   🔴 117730 10:06 매수 → -2.50%
   🔴 090370 10:33 매수 → -2.50%
   🟢 067310 10:33 매수 → +3.50%
   🔴 413630 11:06 매수 → -2.50%
   🔴 117730 11:36 매수 → -2.50%
   🟢 218410 11:36 매수 → +1.96%

=== 042660 - 20251030 눌림목(3분) 신호 재현 ===
  selection_date: 2025-10-30 09:02:41
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:143,500 | 거래량:194,484 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:15→09:18: 종가:142,500 | 거래량:96,588 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:18→09:21: 종가:144,800 | 거래량:168,687 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:21→09:24: 종가:145,900 | 거래량:81,499 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:24→09:27: 종가:145,200 | 거래량:90,579 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:27→09:30: 종가:145,100 | 거래량:72,372 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:30→09:33: 종가:146,400 | 거래량:84,252 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:33→09:36: 종가:147,200 | 거래량:99,338 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    09:36→09:39: 종가:148,200 | 거래량:146,646 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    09:39→09:42: 종가:147,700 | 거래량:113,418 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    09:42→09:45: 종가:148,000 | 거래량:79,186 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    09:45→09:48: 종가:147,400 | 거래량:79,075 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    09:48→09:51: 종가:147,200 | 거래량:64,778 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    09:51→09:54: 종가:147,400 | 거래량:84,228 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    09:54→09:57: 종가:147,000 | 거래량:71,104 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    09:57→10:00: 종가:146,800 | 거래량:55,948 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    10:00→10:03: 종가:147,000 | 거래량:81,819 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    10:03→10:06: 종가:147,800 | 거래량:63,733 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    10:06→10:09: 종가:147,800 | 거래량:85,170 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    10:09→10:12: 종가:147,700 | 거래량:43,454 | 🔴회피(당일시가이하(시가:149600)) | 신뢰도:0%
    10:12→10:15: 종가:145,500 | 거래량:91,532 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:15→10:18: 종가:145,200 | 거래량:52,327 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:18→10:21: 종가:145,400 | 거래량:54,397 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:21→10:24: 종가:144,900 | 거래량:79,330 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:24→10:27: 종가:144,000 | 거래량:96,287 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:27→10:30: 종가:143,400 | 거래량:71,261 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:30→10:33: 종가:143,600 | 거래량:53,410 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:33→10:36: 종가:144,500 | 거래량:41,522 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:36→10:39: 종가:144,400 | 거래량:22,062 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:39→10:42: 종가:144,200 | 거래량:34,973 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:42→10:45: 종가:145,000 | 거래량:38,960 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:45→10:48: 종가:144,400 | 거래량:23,883 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:48→10:51: 종가:143,500 | 거래량:33,198 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:51→10:54: 종가:143,100 | 거래량:33,268 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:54→10:57: 종가:142,900 | 거래량:67,294 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:57→11:00: 종가:143,800 | 거래량:35,408 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:00→11:03: 종가:143,900 | 거래량:15,995 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:03→11:06: 종가:143,750 | 거래량:27,901 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:06→11:09: 종가:143,300 | 거래량:17,203 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:09→11:12: 종가:142,400 | 거래량:26,992 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:12→11:15: 종가:142,000 | 거래량:61,396 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:15→11:18: 종가:142,400 | 거래량:44,527 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:18→11:21: 종가:142,200 | 거래량:45,700 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:21→11:24: 종가:142,200 | 거래량:25,653 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:24→11:27: 종가:142,200 | 거래량:14,405 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:27→11:30: 종가:142,500 | 거래량:24,866 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:30→11:33: 종가:142,800 | 거래량:29,084 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:33→11:36: 종가:143,300 | 거래량:29,327 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:36→11:39: 종가:143,100 | 거래량:14,057 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:39→11:42: 종가:143,100 | 거래량:10,691 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:42→11:45: 종가:142,800 | 거래량:14,623 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:45→11:48: 종가:142,400 | 거래량:21,297 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:48→11:51: 종가:142,500 | 거래량:14,077 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:51→11:54: 종가:143,000 | 거래량:8,564 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:54→11:57: 종가:143,000 | 거래량:18,142 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    11:57→12:00: 종가:142,800 | 거래량:15,039 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:00→12:03: 종가:142,900 | 거래량:6,144 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:03→12:06: 종가:143,200 | 거래량:20,851 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:06→12:09: 종가:143,100 | 거래량:7,914 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:09→12:12: 종가:143,100 | 거래량:7,676 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:12→12:15: 종가:143,100 | 거래량:5,608 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:15→12:18: 종가:143,300 | 거래량:7,167 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:18→12:21: 종가:143,700 | 거래량:9,514 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:21→12:24: 종가:143,000 | 거래량:25,315 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:24→12:27: 종가:142,400 | 거래량:19,479 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:27→12:30: 종가:142,200 | 거래량:12,723 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:30→12:33: 종가:142,400 | 거래량:19,103 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:33→12:36: 종가:142,800 | 거래량:16,644 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:36→12:39: 종가:142,900 | 거래량:14,452 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:39→12:42: 종가:142,800 | 거래량:16,883 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:42→12:45: 종가:142,600 | 거래량:9,062 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:45→12:48: 종가:144,100 | 거래량:46,622 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:48→12:51: 종가:144,600 | 거래량:35,999 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:51→12:54: 종가:144,700 | 거래량:29,586 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:54→12:57: 종가:145,300 | 거래량:61,754 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:57→13:00: 종가:144,700 | 거래량:38,592 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:00→13:03: 종가:145,100 | 거래량:29,402 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:03→13:06: 종가:144,400 | 거래량:27,315 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:06→13:09: 종가:143,600 | 거래량:41,153 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:09→13:12: 종가:142,500 | 거래량:38,673 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:12→13:15: 종가:142,300 | 거래량:29,458 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:15→13:18: 종가:142,500 | 거래량:17,137 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:18→13:21: 종가:142,600 | 거래량:23,970 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:21→13:24: 종가:141,600 | 거래량:48,431 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:24→13:27: 종가:141,800 | 거래량:71,586 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:27→13:30: 종가:141,200 | 거래량:32,993 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:30→13:33: 종가:141,400 | 거래량:24,672 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:33→13:36: 종가:142,200 | 거래량:50,357 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:36→13:39: 종가:141,300 | 거래량:33,327 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:39→13:42: 종가:140,900 | 거래량:22,376 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:42→13:45: 종가:141,400 | 거래량:12,015 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:45→13:48: 종가:141,100 | 거래량:19,915 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:48→13:51: 종가:140,400 | 거래량:53,766 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:51→13:54: 종가:139,100 | 거래량:90,605 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:54→13:57: 종가:139,400 | 거래량:68,451 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:57→14:00: 종가:138,100 | 거래량:49,198 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:00→14:03: 종가:138,300 | 거래량:72,726 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:03→14:06: 종가:139,100 | 거래량:49,218 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:06→14:09: 종가:139,400 | 거래량:30,749 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:09→14:12: 종가:138,600 | 거래량:35,456 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:12→14:15: 종가:138,800 | 거래량:18,552 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:15→14:18: 종가:138,200 | 거래량:42,522 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:18→14:21: 종가:139,400 | 거래량:37,563 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
