=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 6건 (1승 5패)
총 수익금: -83,427원 (-8.3%)
  ㄴ 승리 수익: +11,342원 (실제 수익률 합계)
  ㄴ 손실 금액: -94,769원 (실제 손실률 합계)

=== 총 승패: 1승 5패 ===
=== selection_date 이후 승패: 1승 5패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 1승 5패 (승률 16.7%) ===
총 수익금: -83,427원 (-8.3%)
  ㄴ 승리 수익: +11,342원
  ㄴ 손실 금액: -94,769원

   🔴 114190 09:48 매수 → -2.50%
   🔴 187790 09:48 매수 → -2.50%
   🟢 066575 10:15 매수 → +1.13%
   🔴 009420 10:15 매수 → -0.92%
   🔴 340930 11:24 매수 → -2.50%
   🔴 240810 11:42 매수 → -1.06%

=== 089890 - 20251106 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-06 12:56:41
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:30,350 | 거래량:6,433 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:30,250 | 거래량:11,210 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:30,800 | 거래량:16,754 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:30,550 | 거래량:6,893 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:30,300 | 거래량:10,442 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:30,050 | 거래량:5,214 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:30,200 | 거래량:4,337 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:30,350 | 거래량:2,882 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:30,300 | 거래량:4,509 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:30,300 | 거래량:1,822 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:30,400 | 거래량:1,430 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:30,600 | 거래량:7,582 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:30,350 | 거래량:2,186 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:30,600 | 거래량:4,094 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:30,450 | 거래량:1,854 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:30,550 | 거래량:1,214 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:30,500 | 거래량:2,980 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:30,250 | 거래량:4,233 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:30,400 | 거래량:3,453 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:29,900 | 거래량:3,934 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:30,000 | 거래량:750 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:29,950 | 거래량:200 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:29,900 | 거래량:941 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:29,950 | 거래량:641 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:29,950 | 거래량:2,333 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:30,150 | 거래량:867 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:30,150 | 거래량:847 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:33→10:36: 종가:30,200 | 거래량:1,005 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:36→10:39: 종가:30,300 | 거래량:960 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:39→10:42: 종가:30,400 | 거래량:1,034 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:42→10:45: 종가:30,300 | 거래량:300 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:30,300 | 거래량:851 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:48→10:51: 종가:30,300 | 거래량:333 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:51→10:54: 종가:30,400 | 거래량:1,335 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:54→10:57: 종가:30,350 | 거래량:820 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:57→11:00: 종가:30,300 | 거래량:65 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:00→11:03: 종가:30,200 | 거래량:44 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:03→11:06: 종가:30,000 | 거래량:1,820 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:06→11:09: 종가:30,000 | 거래량:591 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:09→11:12: 종가:30,000 | 거래량:544 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:12→11:15: 종가:30,100 | 거래량:20 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:15→11:18: 종가:30,200 | 거래량:11 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:18→11:21: 종가:30,200 | 거래량:2,214 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:21→11:24: 종가:29,950 | 거래량:2,010 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:24→11:27: 종가:29,950 | 거래량:622 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:27→11:30: 종가:29,950 | 거래량:270 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:30→11:33: 종가:29,850 | 거래량:3,414 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:33→11:36: 종가:29,950 | 거래량:432 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:36→11:39: 종가:29,900 | 거래량:119 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:39→11:42: 종가:29,900 | 거래량:370 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:42→11:45: 종가:29,900 | 거래량:603 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:45→11:48: 종가:29,800 | 거래량:647 | 🔴회피(4단계패턴없음) | 신뢰도:0%
