=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 7건 (3승 4패)
총 수익금: +3,646원 (+0.4%)
  ㄴ 승리 수익: +87,067원 (실제 수익률 합계)
  ㄴ 손실 금액: -83,422원 (실제 손실률 합계)

=== 총 승패: 3승 4패 ===
=== selection_date 이후 승패: 3승 4패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 3승 4패 (승률 42.9%) ===
총 수익금: +3,646원 (+0.4%)
  ㄴ 승리 수익: +87,067원
  ㄴ 손실 금액: -83,422원

   🟢 092300 09:39 매수 → +3.50%
   🟢 161390 10:00 매수 → +1.71%
   🔴 226950 10:24 매수 → -2.50%
   🔴 040300 10:34 매수 → -2.50%
   🔴 417970 10:42 매수 → -2.50%
   🟢 092300 10:51 매수 → +3.50%
   🔴 092300 11:42 매수 → -0.84%

=== 340930 - 20251110 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-10 09:42:57
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:2,279 | 거래량:32,355 | 🔴회피(시가대비0.6%상승(2%미만차단)) | 신뢰도:0%
    09:15→09:18: 종가:2,253 | 거래량:17,491 | 🔴회피(당일시가이하(시가:2266)) | 신뢰도:0%
    09:18→09:21: 종가:2,288 | 거래량:14,128 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    09:21→09:24: 종가:2,488 | 거래량:181,196 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:2,427 | 거래량:255,467 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:2,427 | 거래량:171,284 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:2,410 | 거래량:244,634 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:2,405 | 거래량:74,356 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:2,423 | 거래량:37,636 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:2,488 | 거래량:210,294 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:2,501 | 거래량:777,130 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:2,497 | 거래량:225,350 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:2,532 | 거래량:139,211 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:2,497 | 거래량:76,795 | 🔴회피(4단계패턴없음) | 신뢰도:0%
