=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 17건 (6승 11패)
총 수익금: -71,830원 (-7.2%)
  ㄴ 승리 수익: +161,093원 (실제 수익률 합계)
  ㄴ 손실 금액: -232,923원 (실제 손실률 합계)

=== 총 승패: 6승 11패 ===
=== selection_date 이후 승패: 6승 11패 ===
=== 📊 최대 동시 보유 종목 수: 13개 ===
=== 🌅 12시 이전 매수 종목: 6승 11패 (승률 35.3%) ===
총 수익금: -71,830원 (-7.2%)
  ㄴ 승리 수익: +161,093원
  ㄴ 손실 금액: -232,923원

   🔴 000230 09:27 매수 → -2.50%
   🟢 347850 09:33 매수 → +3.50%
   🔴 394800 09:42 매수 → -2.50%
   🔴 174900 09:42 매수 → -2.50%
   🟢 397030 09:45 매수 → +1.01%
   🟢 338840 09:48 매수 → +3.50%
   🔴 950160 10:03 매수 → -0.72%
   🟢 007660 10:11 매수 → +3.50%
   🔴 174900 10:15 매수 → -2.50%
   🔴 039200 10:19 매수 → -0.07%
   🟢 042520 10:21 매수 → +1.10%
   🔴 000990 10:27 매수 → -2.50%
   🔴 394800 10:33 매수 → -2.50%
   🟢 220100 10:33 매수 → +3.50%
   🔴 007810 11:09 매수 → -2.50%
   🔴 089970 11:18 매수 → -2.50%
   🔴 005690 11:21 매수 → -2.50%

=== 256840 - 20251117 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-17 14:22:22
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:5,090 | 거래량:19,988 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:15→09:18: 종가:5,080 | 거래량:19,275 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:18→09:21: 종가:5,090 | 거래량:38,296 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:21→09:24: 종가:5,070 | 거래량:22,527 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:24→09:27: 종가:5,090 | 거래량:8,907 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:27→09:30: 종가:5,100 | 거래량:11,547 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    09:30→09:33: 종가:5,100 | 거래량:3,545 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    09:33→09:36: 종가:5,100 | 거래량:4,294 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    09:36→09:39: 종가:5,100 | 거래량:12,659 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    09:39→09:42: 종가:5,110 | 거래량:6,158 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    09:42→09:45: 종가:5,100 | 거래량:2,070 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    09:45→09:48: 종가:5,110 | 거래량:15,354 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    09:48→09:51: 종가:5,110 | 거래량:6,060 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    09:51→09:54: 종가:5,100 | 거래량:9,423 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    09:54→09:57: 종가:5,130 | 거래량:2,036 | 🔴회피(시가대비0.4%상승(2%미만차단)) | 신뢰도:0%
    09:57→10:00: 종가:5,120 | 거래량:8,039 | 🔴회피(시가대비0.2%상승(2%미만차단)) | 신뢰도:0%
    10:00→10:03: 종가:5,100 | 거래량:7,684 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    10:03→10:06: 종가:5,110 | 거래량:3,301 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    10:06→10:09: 종가:5,105 | 거래량:934 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    10:09→10:12: 종가:5,120 | 거래량:2,957 | 🔴회피(시가대비0.2%상승(2%미만차단)) | 신뢰도:0%
    10:12→10:15: 종가:5,100 | 거래량:9,932 | 🔴회피(당일시가이하(시가:5110)) | 신뢰도:0%
    10:15→10:18: 종가:5,140 | 거래량:2,780 | 🔴회피(시가대비0.6%상승(2%미만차단)) | 신뢰도:0%
    10:18→10:21: 종가:5,140 | 거래량:4,504 | 🔴회피(시가대비0.6%상승(2%미만차단)) | 신뢰도:0%
    10:21→10:24: 종가:5,160 | 거래량:6,140 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    10:24→10:27: 종가:5,160 | 거래량:804 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    10:27→10:30: 종가:5,150 | 거래량:11,732 | 🔴회피(시가대비0.8%상승(2%미만차단)) | 신뢰도:0%
    10:30→10:33: 종가:5,160 | 거래량:8,009 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    10:33→10:36: 종가:5,160 | 거래량:1,412 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    10:36→10:39: 종가:5,160 | 거래량:5,520 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    10:39→10:42: 종가:5,160 | 거래량:1,125 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    10:42→10:45: 종가:5,160 | 거래량:2,648 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    10:45→10:48: 종가:5,160 | 거래량:1,758 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    10:48→10:51: 종가:5,160 | 거래량:6,449 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    10:51→10:54: 종가:5,150 | 거래량:3,011 | 🔴회피(시가대비0.8%상승(2%미만차단)) | 신뢰도:0%
    10:54→10:57: 종가:5,190 | 거래량:7,710 | 🔴회피(시가대비1.6%상승(2%미만차단)) | 신뢰도:0%
    10:57→11:00: 종가:5,200 | 거래량:54,984 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    11:00→11:03: 종가:5,180 | 거래량:5,808 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    11:03→11:06: 종가:5,170 | 거래량:7,782 | 🔴회피(시가대비1.2%상승(2%미만차단)) | 신뢰도:0%
    11:06→11:09: 종가:5,170 | 거래량:7,897 | 🔴회피(시가대비1.2%상승(2%미만차단)) | 신뢰도:0%
    11:09→11:12: 종가:5,200 | 거래량:6,240 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    11:12→11:15: 종가:5,200 | 거래량:5,449 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    11:15→11:18: 종가:5,200 | 거래량:4,473 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    11:18→11:21: 종가:5,180 | 거래량:2,220 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    11:21→11:24: 종가:5,200 | 거래량:2,169 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    11:24→11:27: 종가:5,200 | 거래량:548 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    11:27→11:30: 종가:5,190 | 거래량:2,323 | 🔴회피(시가대비1.6%상승(2%미만차단)) | 신뢰도:0%
    11:30→11:33: 종가:5,190 | 거래량:516 | 🔴회피(시가대비1.6%상승(2%미만차단)) | 신뢰도:0%
    11:33→11:36: 종가:5,200 | 거래량:2,602 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    11:36→11:39: 종가:5,190 | 거래량:874 | 🔴회피(시가대비1.6%상승(2%미만차단)) | 신뢰도:0%
    11:39→11:42: 종가:5,190 | 거래량:510 | 🔴회피(시가대비1.6%상승(2%미만차단)) | 신뢰도:0%
    11:42→11:45: 종가:5,180 | 거래량:302 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    11:45→11:48: 종가:5,180 | 거래량:4,840 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    11:48→11:51: 종가:5,180 | 거래량:2,035 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    11:51→11:54: 종가:5,180 | 거래량:3,051 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    11:54→11:57: 종가:5,180 | 거래량:3,660 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    11:57→12:00: 종가:5,180 | 거래량:2,030 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    12:00→12:03: 종가:5,180 | 거래량:1,128 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    12:03→12:06: 종가:5,190 | 거래량:2,463 | 🔴회피(시가대비1.6%상승(2%미만차단)) | 신뢰도:0%
    12:06→12:09: 종가:5,190 | 거래량:147 | 🔴회피(시가대비1.6%상승(2%미만차단)) | 신뢰도:0%
    12:09→12:12: 종가:5,180 | 거래량:4,365 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    12:12→12:15: 종가:5,190 | 거래량:2,512 | 🔴회피(시가대비1.6%상승(2%미만차단)) | 신뢰도:0%
    12:15→12:18: 종가:5,180 | 거래량:3,640 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    12:18→12:21: 종가:5,180 | 거래량:1,246 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    12:21→12:24: 종가:5,180 | 거래량:2,531 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    12:24→12:27: 종가:5,170 | 거래량:2,365 | 🔴회피(시가대비1.2%상승(2%미만차단)) | 신뢰도:0%
    12:27→12:30: 종가:5,180 | 거래량:1,120 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    12:30→12:33: 종가:5,170 | 거래량:3,762 | 🔴회피(시가대비1.2%상승(2%미만차단)) | 신뢰도:0%
    12:33→12:36: 종가:5,170 | 거래량:2,249 | 🔴회피(시가대비1.2%상승(2%미만차단)) | 신뢰도:0%
    12:36→12:39: 종가:5,180 | 거래량:8,220 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    12:39→12:42: 종가:5,170 | 거래량:6,350 | 🔴회피(시가대비1.2%상승(2%미만차단)) | 신뢰도:0%
    12:42→12:45: 종가:5,160 | 거래량:3,753 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    12:45→12:48: 종가:5,160 | 거래량:107 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    12:48→12:51: 종가:5,150 | 거래량:11,415 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:51→12:54: 종가:5,160 | 거래량:8,924 | 🔴회피(시가대비1.0%상승(2%미만차단)) | 신뢰도:0%
    12:54→12:57: 종가:5,150 | 거래량:481 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:57→13:00: 종가:5,150 | 거래량:99 | 🔴회피(이등분선아래) | 신뢰도:0%
    13:00→13:03: 종가:5,150 | 거래량:908 | 🔴회피(이등분선아래) | 신뢰도:0%
    13:03→13:06: 종가:5,140 | 거래량:1,423 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:06→13:09: 종가:5,140 | 거래량:1,519 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:09→13:12: 종가:5,130 | 거래량:1,486 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:12→13:15: 종가:5,140 | 거래량:235 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:15→13:18: 종가:5,140 | 거래량:3,238 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:18→13:21: 종가:5,130 | 거래량:2,281 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:21→13:24: 종가:5,110 | 거래량:31,663 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    13:24→13:27: 종가:5,110 | 거래량:11,148 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:27→13:30: 종가:5,110 | 거래량:934 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:30→13:33: 종가:5,120 | 거래량:1,201 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:33→13:36: 종가:5,120 | 거래량:1,381 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:36→13:39: 종가:5,120 | 거래량:3,528 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:39→13:42: 종가:5,140 | 거래량:4,834 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:42→13:45: 종가:5,130 | 거래량:212 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:45→13:48: 종가:5,140 | 거래량:294 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:48→13:51: 종가:5,130 | 거래량:524 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:51→13:54: 종가:5,140 | 거래량:4 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:54→13:57: 종가:5,120 | 거래량:2,581 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    13:57→14:00: 종가:5,130 | 거래량:1,347 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:00→14:03: 종가:5,140 | 거래량:1,882 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:03→14:06: 종가:5,130 | 거래량:3,341 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:06→14:09: 종가:5,140 | 거래량:5,596 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    14:09→14:12: 종가:5,300 | 거래량:251,318 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:12→14:15: 종가:5,620 | 거래량:628,446 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:15→14:18: 종가:5,620 | 거래량:1,658,969 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    14:18→14:21: 종가:5,640 | 거래량:830,593 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:21→14:24: 종가:6,170 | 거래량:2,174,385 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:24→14:27: 종가:5,950 | 거래량:2,184,770 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:27→14:30: 종가:5,830 | 거래량:1,591,439 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    14:30→14:33: 종가:5,830 | 거래량:1,233,908 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:33→14:36: 종가:5,890 | 거래량:784,320 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:36→14:39: 종가:5,850 | 거래량:1,071,796 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:39→14:42: 종가:5,780 | 거래량:557,875 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:42→14:45: 종가:5,750 | 거래량:535,709 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:45→14:48: 종가:5,830 | 거래량:753,958 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:48→14:51: 종가:5,850 | 거래량:641,316 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:51→14:54: 종가:5,810 | 거래량:253,998 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:54→14:57: 종가:5,740 | 거래량:421,059 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    14:57→15:00: 종가:5,710 | 거래량:365,655 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:00→15:03: 종가:5,650 | 거래량:745,261 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:03→15:06: 종가:5,680 | 거래량:553,337 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:06→15:09: 종가:5,630 | 거래량:335,363 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    15:09→15:12: 종가:5,550 | 거래량:631,542 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:12→15:15: 종가:5,500 | 거래량:465,025 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:15→15:18: 종가:5,460 | 거래량:385,812 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    15:18→15:21: 종가:5,450 | 거래량:66,495 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%

=== 036630 - 20251117 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-17 10:09:31
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:8,530 | 거래량:12,420 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:15→09:18: 종가:8,490 | 거래량:9,188 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:18→09:21: 종가:8,680 | 거래량:8,124 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:21→09:24: 종가:8,750 | 거래량:5,855 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:24→09:27: 종가:8,660 | 거래량:2,578 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:27→09:30: 종가:8,620 | 거래량:1,877 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:30→09:33: 종가:8,650 | 거래량:3,025 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:33→09:36: 종가:9,000 | 거래량:11,178 | 🔴회피(당일시가이하(시가:9210)) | 신뢰도:0%
    09:36→09:39: 종가:8,840 | 거래량:7,616 | 🔴회피(당일시가이하(시가:9210)) | 신뢰도:0%
    09:39→09:42: 종가:8,700 | 거래량:2,896 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:42→09:45: 종가:8,760 | 거래량:2,441 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:45→09:48: 종가:8,740 | 거래량:511 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:48→09:51: 종가:8,640 | 거래량:2,025 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:51→09:54: 종가:8,640 | 거래량:1,186 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:54→09:57: 종가:8,700 | 거래량:976 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:57→10:00: 종가:9,540 | 거래량:63,405 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:10,050 | 거래량:104,016 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:10,130 | 거래량:68,310 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:10,130 | 거래량:192,984 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:10,280 | 거래량:206,378 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:10,250 | 거래량:170,896 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:10,060 | 거래량:122,485 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:10,160 | 거래량:44,585 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:10,260 | 거래량:111,560 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:10,080 | 거래량:38,568 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:10,110 | 거래량:16,324 | 🔴회피(4단계패턴없음) | 신뢰도:0%
