=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 8건 (4승 4패)
총 수익금: +6,318원 (+0.6%)
  ㄴ 승리 수익: +106,318원 (실제 수익률 합계)
  ㄴ 손실 금액: -100,000원 (실제 손실률 합계)

=== 총 승패: 4승 4패 ===
=== selection_date 이후 승패: 4승 4패 ===
=== 📊 최대 동시 보유 종목 수: 6개 ===
=== 🌅 12시 이전 매수 종목: 4승 4패 (승률 50.0%) ===
총 수익금: +6,318원 (+0.6%)
  ㄴ 승리 수익: +106,318원
  ㄴ 손실 금액: -100,000원

   🔴 424760 09:33 매수 → -2.50%
   🟢 448900 10:20 매수 → +3.50%
   🔴 003720 10:36 매수 → -2.50%
   🔴 095340 10:36 매수 → -2.50%
   🟢 085910 10:43 매수 → +3.50%
   🔴 092200 11:15 매수 → -2.50%
   🟢 235980 11:21 매수 → +3.50%
   🟢 058610 11:36 매수 → +0.13%

=== 058610 - 20251119 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-19 10:23:12
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    11:36 [pullback_pattern]
  체결 시뮬레이션:
    11:36 매수[pullback_pattern] @37,950 → 15:00 매도[profit_0.1pct] @38,000 (+0.13%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:31,900 | 거래량:20,715 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:15→09:18: 종가:31,800 | 거래량:22,612 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:18→09:21: 종가:31,850 | 거래량:20,230 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:21→09:24: 종가:31,750 | 거래량:15,157 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:24→09:27: 종가:31,600 | 거래량:23,375 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:27→09:30: 종가:31,800 | 거래량:13,314 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:30→09:33: 종가:31,750 | 거래량:15,574 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:33→09:36: 종가:31,800 | 거래량:13,256 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:36→09:39: 종가:31,800 | 거래량:8,998 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:39→09:42: 종가:32,450 | 거래량:55,378 | 🔴회피(시가대비0.2%상승(2%미만차단)) | 신뢰도:0%
    09:42→09:45: 종가:32,050 | 거래량:13,526 | 🔴회피(당일시가이하(시가:32400)) | 신뢰도:0%
    09:45→09:48: 종가:32,500 | 거래량:24,816 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    09:48→09:51: 종가:32,500 | 거래량:40,192 | 🔴회피(시가대비0.3%상승(2%미만차단)) | 신뢰도:0%
    09:51→09:54: 종가:32,800 | 거래량:27,239 | 🔴회피(시가대비1.2%상승(2%미만차단)) | 신뢰도:0%
    09:54→09:57: 종가:33,250 | 거래량:97,837 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:33,100 | 거래량:88,904 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:34,150 | 거래량:203,175 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:33,700 | 거래량:97,570 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:33,650 | 거래량:43,285 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:33,250 | 거래량:44,641 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:33,800 | 거래량:35,801 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:35,200 | 거래량:362,576 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:35,550 | 거래량:158,921 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:36,650 | 거래량:208,976 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:38,450 | 거래량:396,958 | 🔴회피(4단계패턴없음) | 신뢰도:0%
