=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 8건 (0승 8패)
총 수익금: -179,452원 (-17.9%)
  ㄴ 승리 수익: +0원 (실제 수익률 합계)
  ㄴ 손실 금액: -179,452원 (실제 손실률 합계)

=== 총 승패: 0승 8패 ===
=== selection_date 이후 승패: 0승 8패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 0승 8패 (승률 0.0%) ===
총 수익금: -179,452원 (-17.9%)
  ㄴ 승리 수익: +0원
  ㄴ 손실 금액: -179,452원

   🔴 058470 09:36 매수 → -2.50%
   🔴 099440 09:36 매수 → -2.50%
   🔴 445680 09:55 매수 → -2.50%
   🔴 099440 10:03 매수 → -2.50%
   🔴 102940 11:06 매수 → -2.16%
   🔴 174900 11:12 매수 → -2.50%
   🔴 445680 11:42 매수 → -0.78%
   🔴 156100 11:45 매수 → -2.50%

=== 221800 - 20251125 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-25 10:18:11
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:5,870 | 거래량:7,274 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:15→09:18: 종가:5,920 | 거래량:12,275 | 🔴회피(시가대비1.7%상승(2%미만차단)) | 신뢰도:0%
    09:18→09:21: 종가:5,940 | 거래량:14,094 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:5,910 | 거래량:12,635 | 🔴회피(시가대비1.5%상승(2%미만차단)) | 신뢰도:0%
    09:24→09:27: 종가:5,880 | 거래량:13,777 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:27→09:30: 종가:5,890 | 거래량:8,239 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:30→09:33: 종가:5,880 | 거래량:3,482 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:33→09:36: 종가:5,940 | 거래량:3,649 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:5,930 | 거래량:7,474 | 🔴회피(시가대비1.9%상승(2%미만차단)) | 신뢰도:0%
    09:39→09:42: 종가:5,880 | 거래량:16,120 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:42→09:45: 종가:5,890 | 거래량:3,143 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:45→09:48: 종가:5,870 | 거래량:5,381 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    09:48→09:51: 종가:5,890 | 거래량:9,223 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
