=== 📊 거래 설정 ===
손익비: 1.2:1 (익절 +6.0% / 손절 -5.0%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 8건 (4승 4패)
총 수익금: +71,779원 (+7.2%)
  ㄴ 승리 수익: +102,630원 (실제 수익률 합계)
  ㄴ 손실 금액: -30,851원 (실제 손실률 합계)

=== 총 승패: 4승 4패 ===
=== selection_date 이후 승패: 4승 4패 ===
=== 📊 최대 동시 보유 종목 수: 8개 ===
=== 🌅 12시 이전 매수 종목: 4승 4패 (승률 50.0%) ===
총 수익금: +71,779원 (+7.2%)
  ㄴ 승리 수익: +102,630원
  ㄴ 손실 금액: -30,851원

   🔴 083500 09:40 매수 → -0.49%
   🟢 307950 09:42 매수 → +2.30%
   🟢 098460 09:55 매수 → +2.93%
   🔴 060280 10:01 매수 → -1.79%
   🔴 300080 10:15 매수 → -0.54%
   🟢 348210 10:18 매수 → +2.26%
   🔴 036630 10:24 매수 → -0.27%
   🟢 394800 10:51 매수 → +2.77%

=== 084670 - 20251202 눌림목(3분) 신호 재현 ===
  selection_date: 2025-12-02 09:22:48
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:13,450 | 거래량:42,453 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:13,930 | 거래량:48,467 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:15,310 | 거래량:295,117 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:15,970 | 거래량:315,088 | 🔴회피(시가대비26.0%상승(22%이상차단)) | 신뢰도:0%
    09:24→09:27: 종가:15,880 | 거래량:170,638 | 🔴회피(시가대비25.3%상승(22%이상차단)) | 신뢰도:0%
    09:27→09:30: 종가:16,020 | 거래량:103,811 | 🔴회피(시가대비26.4%상승(22%이상차단)) | 신뢰도:0%
    09:30→09:33: 종가:15,540 | 거래량:92,463 | 🔴회피(시가대비22.7%상승(22%이상차단)) | 신뢰도:0%
    09:33→09:36: 종가:15,810 | 거래량:46,525 | 🔴회피(시가대비24.8%상승(22%이상차단)) | 신뢰도:0%
    09:36→09:39: 종가:16,080 | 거래량:69,674 | 🔴회피(시가대비26.9%상승(22%이상차단)) | 신뢰도:0%
    09:39→09:42: 종가:16,150 | 거래량:177,954 | 🔴회피(시가대비27.5%상승(22%이상차단)) | 신뢰도:0%
    09:42→09:45: 종가:16,060 | 거래량:34,964 | 🔴회피(시가대비26.8%상승(22%이상차단)) | 신뢰도:0%
    09:45→09:48: 종가:15,905 | 거래량:48,434 | 🔴회피(시가대비25.5%상승(22%이상차단)) | 신뢰도:0%
    09:48→09:51: 종가:16,040 | 거래량:28,802 | 🔴회피(시가대비26.6%상승(22%이상차단)) | 신뢰도:0%
    09:51→09:54: 종가:16,015 | 거래량:21,612 | 🔴회피(시가대비26.4%상승(22%이상차단)) | 신뢰도:0%
    09:54→09:57: 종가:15,950 | 거래량:13,803 | 🔴회피(시가대비25.9%상승(22%이상차단)) | 신뢰도:0%
    09:57→10:00: 종가:15,900 | 거래량:18,412 | 🔴회피(시가대비25.5%상승(22%이상차단)) | 신뢰도:0%
    10:00→10:03: 종가:15,620 | 거래량:40,793 | 🔴회피(시가대비23.3%상승(22%이상차단)) | 신뢰도:0%
    10:03→10:06: 종가:15,770 | 거래량:21,236 | 🔴회피(시가대비24.5%상승(22%이상차단)) | 신뢰도:0%
    10:06→10:09: 종가:15,840 | 거래량:15,395 | 🔴회피(시가대비25.0%상승(22%이상차단)) | 신뢰도:0%
    10:09→10:12: 종가:15,850 | 거래량:13,824 | 🔴회피(시가대비25.1%상승(22%이상차단)) | 신뢰도:0%
    10:12→10:15: 종가:15,740 | 거래량:12,739 | 🔴회피(시가대비24.2%상승(22%이상차단)) | 신뢰도:0%
    10:15→10:18: 종가:15,750 | 거래량:10,177 | 🔴회피(시가대비24.3%상승(22%이상차단)) | 신뢰도:0%
    10:18→10:21: 종가:15,730 | 거래량:14,651 | 🔴회피(시가대비24.2%상승(22%이상차단)) | 신뢰도:0%
    10:21→10:24: 종가:15,650 | 거래량:4,910 | 🔴회피(시가대비23.5%상승(22%이상차단)) | 신뢰도:0%
    10:24→10:27: 종가:15,830 | 거래량:14,699 | 🔴회피(시가대비24.9%상승(22%이상차단)) | 신뢰도:0%
    10:27→10:30: 종가:15,850 | 거래량:9,191 | 🔴회피(시가대비25.1%상승(22%이상차단)) | 신뢰도:0%
    10:30→10:33: 종가:15,840 | 거래량:4,372 | 🔴회피(시가대비25.0%상승(22%이상차단)) | 신뢰도:0%
    10:33→10:36: 종가:15,940 | 거래량:17,133 | 🔴회피(시가대비25.8%상승(22%이상차단)) | 신뢰도:0%
