=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 6건 (5승 1패)
총 수익금: +116,100원 (+1.9%)
  ㄴ 승리 수익: +141,100원 (실제 수익률 합계)
  ㄴ 손실 금액: -25,000원 (실제 손실률 합계)

=== 총 승패: 5승 1패 ===
=== selection_date 이후 승패: 5승 1패 ===
=== 📊 최대 동시 보유 종목 수: 3개 ===
=== 🌅 12시 이전 매수 종목: 5승 1패 (승률 83.3%) ===
총 수익금: +116,100원 (+1.9%)
  ㄴ 승리 수익: +141,100원 (실제 수익률 합계)
  ㄴ 손실 금액: -25,000원 (실제 손실률 합계)

   🟢 226950(올릭스) 09:54 매수 → +3.50% [ML: 66.3%]
   🟢 160190(하이젠알앤엠) 10:00 매수 → +3.50% [ML: 73.3%]
   🟢 458870(씨어스테크놀로지) 10:40 매수 → +0.11% [ML: 53.0%]
   🟢 380550(뉴로핏) 10:48 매수 → +3.50% [ML: 77.5%]
   🔴 014620(성광벤드) 11:21 매수 → -2.50% [ML: 50.0%] (패턴없음)
   🟢 437730(삼현) 11:24 매수 → +3.50% [ML: 50.0%] (패턴없음)

=== 380550 - 20250902 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-02 10:10:44
  승패: 1승 0패
  selection_date 이후 승패: 1승 0패
  매매신호:
    10:48 [pullback_pattern]
  체결 시뮬레이션:
    10:48 매수[pullback_pattern] @12,222 → 10:58 매도[profit_3.5pct] @12,650 (+3.50%)
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:10,640 | 거래량:14,456 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:10,580 | 거래량:9,441 | 🔴회피(시가대비1.7%상승(2%미만차단)) | 신뢰도:0%
    09:18→09:21: 종가:10,630 | 거래량:5,194 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:10,650 | 거래량:4,532 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:10,560 | 거래량:5,216 | 🔴회피(이등분선아래) | 신뢰도:0%
    09:27→09:30: 종가:10,590 | 거래량:4,513 | 🔴회피(시가대비1.8%상승(2%미만차단)) | 신뢰도:0%
    09:30→09:33: 종가:10,860 | 거래량:22,959 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:11,430 | 거래량:75,954 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:11,170 | 거래량:432,681 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    09:39→09:42: 종가:11,160 | 거래량:92,152 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:11,190 | 거래량:63,516 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:11,580 | 거래량:110,031 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:11,670 | 거래량:337,154 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:11,740 | 거래량:435,607 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:11,740 | 거래량:107,199 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:11,670 | 거래량:89,915 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:12,010 | 거래량:183,850 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:11,900 | 거래량:188,063 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:11,920 | 거래량:172,021 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:12,520 | 거래량:348,936 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:12,630 | 거래량:309,750 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:12,380 | 거래량:172,175 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:12,320 | 거래량:129,851 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:12,270 | 거래량:90,367 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:12,130 | 거래량:118,205 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:12,060 | 거래량:71,098 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:12,000 | 거래량:82,042 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:33→10:36: 종가:12,000 | 거래량:93,481 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:36→10:39: 종가:11,950 | 거래량:37,013 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:39→10:42: 종가:11,960 | 거래량:41,126 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:42→10:45: 종가:11,910 | 거래량:75,997 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:12,300 | 거래량:216,587 | 🟢강매수 | 신뢰도:89% | 💰매수@12,222 | →10:58매도@12,650
    10:48→10:51: 종가:12,220 | 거래량:84,856 | 🔴회피(4단계패턴없음) | 신뢰도:0%
