=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 5건 (3승 2패)
총 수익금: +21,700원 (+0.4%)
  ㄴ 승리 수익: +71,700원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

=== 총 승패: 3승 2패 ===
=== selection_date 이후 승패: 3승 2패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 3승 2패 (승률 60.0%) ===
총 수익금: +21,700원 (+0.4%)
  ㄴ 승리 수익: +71,700원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

   🟢 462310(뉴키즈온) 09:36 매수 → +3.50% [ML: 71.3%]
   🟢 458870(씨어스테크놀로지) 09:51 매수 → +0.17% [ML: 79.6%]
   🟢 441270(파인엠텍) 09:56 매수 → +3.50% [ML: 67.3%]
# [ML 필터링: 34.3%]       🟢 097230(HJ중공업) 10:42 매수 → +3.50%
   🔴 187660(현대ADM) 11:18 매수 → -2.50% [ML: 50.0%] (패턴없음)
   🔴 097230(HJ중공업) 11:24 매수 → -2.50% [ML: 50.0%] (패턴없음)
# [ML 필터링: 27.3%]       🟢 226950(올릭스) 11:36 매수 → +1.23%

=== 403490 - 20250903 눌림목(3분) 신호 재현 ===
  selection_date: 2025-09-03 10:05:09
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:1,742 | 거래량:21,000 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:1,777 | 거래량:221,700 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:1,763 | 거래량:154,630 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    09:21→09:24: 종가:1,751 | 거래량:75,059 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:1,756 | 거래량:18,123 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:27→09:30: 종가:1,752 | 거래량:14,433 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:1,749 | 거래량:17,848 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:33→09:36: 종가:1,751 | 거래량:19,421 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:36→09:39: 종가:1,762 | 거래량:13,869 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:1,756 | 거래량:21,639 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:1,763 | 거래량:30,957 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:1,824 | 거래량:898,843 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:1,807 | 거래량:616,746 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    09:51→09:54: 종가:1,795 | 거래량:230,647 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:1,876 | 거래량:494,509 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:1,890 | 거래량:1,277,495 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:1,855 | 거래량:805,755 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:03→10:06: 종가:1,916 | 거래량:1,209,225 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:1,960 | 거래량:1,530,080 | 🔴회피(4단계패턴없음) | 신뢰도:0%
