=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 2건 (0승 2패)
총 수익금: -50,000원 (-2.5%)
  ㄴ 승리 수익: +0원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

=== 총 승패: 0승 2패 ===
=== selection_date 이후 승패: 0승 2패 ===
=== 📊 최대 동시 보유 종목 수: 5개 ===
=== 🌅 13시 이전 매수 종목: 1승 5패 (승률 16.7%) ===
총 수익금: -50,000원 (-2.5%)
  ㄴ 승리 수익: +0원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

# [ML 필터링: 18.3%]       🟢 299170(더블유에스아이) 10:39 매수 → +3.50%
   🔴 340930(유일에너테크) 11:03 매수 → -2.50% [ML: 59.6%]
# [ML 필터링: 26.9%]       🔴 053950(경남제약) 11:12 매수 → -2.50%
# [ML 필터링: 40.5%]       🔴 011170(롯데케미칼) 11:12 매수 → -2.50%
# [ML 필터링: 23.9%]       🔴 195990(에이비프로바이오) 11:15 매수 → -2.50%
   🔴 078350(한양디지텍) 11:18 매수 → -2.50% [ML: 58.2%]

=== 000230 - 20251113 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-13 10:00:26
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (10:00~16:30):
    10:00→10:03: 데이터부족
    10:03→10:06: 데이터부족
    10:06→10:09: 데이터부족
    10:09→10:12: 데이터부족
    10:12→10:15: 종가:15,760 | 거래량:214,494 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:15,510 | 거래량:135,095 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:15,380 | 거래량:78,575 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:21→10:24: 종가:15,560 | 거래량:87,376 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:15,490 | 거래량:53,408 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:15,590 | 거래량:30,921 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:15,340 | 거래량:36,777 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:33→10:36: 종가:15,300 | 거래량:39,905 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:36→10:39: 종가:15,280 | 거래량:23,447 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:39→10:42: 종가:15,230 | 거래량:27,739 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:42→10:45: 종가:15,130 | 거래량:32,489 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:45→10:48: 종가:15,110 | 거래량:22,793 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:48→10:51: 종가:15,190 | 거래량:11,967 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:51→10:54: 종가:15,010 | 거래량:16,461 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    10:54→10:57: 종가:14,910 | 거래량:48,733 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
