=== 총 승패: 0승 0패 ===
=== selection_date 이후 승패: 0승 0패 ===
=== 📊 최대 동시 보유 종목 수: 0개 ===

=== 460940 - 20251124 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-24 09:09:00
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:13,220 | 거래량:653,966 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:15→09:18: 종가:13,300 | 거래량:216,938 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:18→09:21: 종가:13,260 | 거래량:172,542 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:21→09:24: 종가:13,310 | 거래량:121,612 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:24→09:27: 종가:13,830 | 거래량:159,265 | 🔴회피(시가대비22.2%상승(22%이상차단)) | 신뢰도:0%
    09:27→09:30: 종가:14,060 | 거래량:610,470 | 🔴회피(시가대비24.2%상승(22%이상차단)) | 신뢰도:0%
    09:30→09:33: 종가:14,100 | 거래량:904,920 | 🔴회피(시가대비24.6%상승(22%이상차단)) | 신뢰도:0%
    09:33→09:36: 종가:13,990 | 거래량:502,942 | 🔴회피(시가대비23.6%상승(22%이상차단)) | 신뢰도:0%
    09:36→09:39: 종가:13,820 | 거래량:216,332 | 🔴회피(시가대비22.1%상승(22%이상차단)) | 신뢰도:0%
    09:39→09:42: 종가:13,640 | 거래량:100,009 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:13,700 | 거래량:88,200 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:13,620 | 거래량:48,713 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:13,700 | 거래량:51,119 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:13,640 | 거래량:26,302 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:13,650 | 거래량:29,596 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:13,790 | 거래량:34,726 | 🟢강매수 | 신뢰도:91%
    10:00→10:03: 종가:13,890 | 거래량:111,716 | 🔴회피(시가대비22.7%상승(22%이상차단)) | 신뢰도:0%
    10:03→10:06: 종가:13,790 | 거래량:60,561 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:13,780 | 거래량:21,576 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:13,720 | 거래량:24,998 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:13,820 | 거래량:22,115 | 🔴회피(시가대비22.1%상승(22%이상차단)) | 신뢰도:0%
    10:15→10:18: 종가:14,060 | 거래량:120,513 | 🔴회피(시가대비24.2%상승(22%이상차단)) | 신뢰도:0%
    10:18→10:21: 종가:13,980 | 거래량:53,731 | 🔴회피(시가대비23.5%상승(22%이상차단)) | 신뢰도:0%
    10:21→10:24: 종가:14,080 | 거래량:66,590 | 🔴회피(시가대비24.4%상승(22%이상차단)) | 신뢰도:0%
    10:24→10:27: 종가:13,910 | 거래량:48,643 | 🔴회피(시가대비22.9%상승(22%이상차단)) | 신뢰도:0%
    10:27→10:30: 종가:13,950 | 거래량:34,849 | 🔴회피(시가대비23.2%상승(22%이상차단)) | 신뢰도:0%
    10:30→10:33: 종가:13,850 | 거래량:45,802 | 🔴회피(시가대비22.3%상승(22%이상차단)) | 신뢰도:0%
    10:33→10:36: 종가:13,860 | 거래량:13,267 | 🔴회피(시가대비22.4%상승(22%이상차단)) | 신뢰도:0%
    10:36→10:39: 종가:13,890 | 거래량:21,077 | 🔴회피(시가대비22.7%상승(22%이상차단)) | 신뢰도:0%
    10:39→10:42: 종가:13,850 | 거래량:10,445 | 🔴회피(시가대비22.3%상승(22%이상차단)) | 신뢰도:0%
    10:42→10:45: 종가:13,700 | 거래량:54,015 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:13,760 | 거래량:13,755 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:48→10:51: 종가:13,810 | 거래량:17,460 | 🟢강매수 | 신뢰도:92%
    10:51→10:54: 종가:13,720 | 거래량:12,695 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:54→10:57: 종가:13,650 | 거래량:39,048 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:57→11:00: 종가:13,730 | 거래량:11,588 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:00→11:03: 종가:13,830 | 거래량:48,017 | 🔴회피(시가대비22.2%상승(22%이상차단)) | 신뢰도:0%
    11:03→11:06: 종가:13,835 | 거래량:5,534 | 🔴회피(시가대비22.2%상승(22%이상차단)) | 신뢰도:0%
    11:06→11:09: 종가:13,860 | 거래량:12,681 | 🔴회피(시가대비22.4%상승(22%이상차단)) | 신뢰도:0%
    11:09→11:12: 종가:13,810 | 거래량:10,933 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:12→11:15: 종가:13,830 | 거래량:18,657 | 🔴회피(시가대비22.2%상승(22%이상차단)) | 신뢰도:0%
    11:15→11:18: 종가:13,880 | 거래량:4,669 | 🔴회피(시가대비22.6%상승(22%이상차단)) | 신뢰도:0%
    11:18→11:21: 종가:13,850 | 거래량:8,716 | 🔴회피(시가대비22.3%상승(22%이상차단)) | 신뢰도:0%
    11:21→11:24: 종가:13,890 | 거래량:18,675 | 🔴회피(시가대비22.7%상승(22%이상차단)) | 신뢰도:0%
    11:24→11:27: 종가:13,910 | 거래량:11,428 | 🔴회피(시가대비22.9%상승(22%이상차단)) | 신뢰도:0%
    11:27→11:30: 종가:13,940 | 거래량:32,373 | 🔴회피(시가대비23.1%상승(22%이상차단)) | 신뢰도:0%
