=== 📊 거래 설정 ===
손익비: 1.4:1 (익절 +3.5% / 손절 -2.5%)
거래당 투자금: 1,000,000원

=== 💰 당일 수익 요약 ===
총 거래: 4건 (2승 2패)
총 수익금: +20,000원 (+0.5%)
  ㄴ 승리 수익: +70,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

=== 총 승패: 2승 2패 ===
=== selection_date 이후 승패: 2승 2패 ===
=== 📊 최대 동시 보유 종목 수: 4개 ===
=== 🌅 12시 이전 매수 종목: 2승 2패 (승률 50.0%) ===
총 수익금: +20,000원 (+0.5%)
  ㄴ 승리 수익: +70,000원 (실제 수익률 합계)
  ㄴ 손실 금액: -50,000원 (실제 손실률 합계)

   🟢 440110(파두) 10:07 매수 → +3.50% [ML: 73.1%]
   🟢 094170(동운아나텍) 10:15 매수 → +3.50% [ML: 71.1%]
   🔴 084670(동양고속) 10:36 매수 → -2.50% [ML: 57.3%]
   🔴 039200(오스코텍) 10:40 매수 → -2.50% [ML: 77.9%]

=== 448900 - 20251127 눌림목(3분) 신호 재현 ===
  selection_date: 2025-11-27 10:12:14
  승패: 0승 0패
  selection_date 이후 승패: 0승 0패
  매매신호:
    없음
  체결 시뮬레이션:
    없음
  매수 못한 기회:
    없음

  🔍 상세 3분봉 분석 (09:00~15:30):
    09:00→09:03: 데이터부족
    09:03→09:06: 데이터부족
    09:06→09:09: 데이터부족
    09:09→09:12: 데이터부족
    09:12→09:15: 종가:41,650 | 거래량:7,112 | 🔴회피(당일시가이하(시가:42000)) | 신뢰도:0%
    09:15→09:18: 종가:41,700 | 거래량:2,149 | 🔴회피(당일시가이하(시가:42000)) | 신뢰도:0%
    09:18→09:21: 종가:42,150 | 거래량:5,318 | 🔴회피(시가대비0.4%상승(2%미만차단)) | 신뢰도:0%
    09:21→09:24: 종가:42,550 | 거래량:9,412 | 🔴회피(시가대비1.3%상승(2%미만차단)) | 신뢰도:0%
    09:24→09:27: 종가:42,500 | 거래량:8,658 | 🔴회피(시가대비1.2%상승(2%미만차단)) | 신뢰도:0%
    09:27→09:30: 종가:43,150 | 거래량:9,450 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:30→09:33: 종가:42,600 | 거래량:7,937 | 🔴회피(시가대비1.4%상승(2%미만차단)) | 신뢰도:0%
    09:33→09:36: 종가:42,700 | 거래량:7,506 | 🔴회피(시가대비1.7%상승(2%미만차단)) | 신뢰도:0%
    09:36→09:39: 종가:43,450 | 거래량:11,705 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:39→09:42: 종가:44,200 | 거래량:17,663 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:42→09:45: 종가:44,650 | 거래량:27,633 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:45→09:48: 종가:44,850 | 거래량:33,133 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:48→09:51: 종가:44,950 | 거래량:32,815 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:51→09:54: 종가:44,750 | 거래량:11,695 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:54→09:57: 종가:46,150 | 거래량:27,372 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    09:57→10:00: 종가:46,450 | 거래량:47,057 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:00→10:03: 종가:46,450 | 거래량:62,191 | 🔴회피(위험신호: LARGE_BEARISH_VOLUME) | 신뢰도:0%
    10:03→10:06: 종가:46,100 | 거래량:15,397 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:06→10:09: 종가:47,450 | 거래량:33,911 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:09→10:12: 종가:47,600 | 거래량:28,211 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:12→10:15: 종가:48,400 | 거래량:88,641 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:15→10:18: 종가:48,100 | 거래량:39,621 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:18→10:21: 종가:47,600 | 거래량:29,067 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:21→10:24: 종가:47,800 | 거래량:16,638 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:24→10:27: 종가:47,700 | 거래량:15,672 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:27→10:30: 종가:47,200 | 거래량:13,304 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:30→10:33: 종가:47,300 | 거래량:10,682 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:33→10:36: 종가:46,650 | 거래량:16,622 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:36→10:39: 종가:46,550 | 거래량:8,688 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:39→10:42: 종가:46,400 | 거래량:7,618 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:42→10:45: 종가:46,700 | 거래량:6,437 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:45→10:48: 종가:46,550 | 거래량:2,219 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:48→10:51: 종가:46,500 | 거래량:6,813 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:51→10:54: 종가:47,150 | 거래량:9,237 | 🟢강매수 | 신뢰도:89%
    10:54→10:57: 종가:46,850 | 거래량:5,609 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    10:57→11:00: 종가:46,300 | 거래량:3,760 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:00→11:03: 종가:46,200 | 거래량:5,745 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:03→11:06: 종가:46,050 | 거래량:7,059 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:06→11:09: 종가:46,450 | 거래량:4,237 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:09→11:12: 종가:46,050 | 거래량:2,924 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:12→11:15: 종가:45,950 | 거래량:3,835 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:15→11:18: 종가:46,500 | 거래량:3,165 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:18→11:21: 종가:46,350 | 거래량:1,524 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:21→11:24: 종가:46,400 | 거래량:791 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:24→11:27: 종가:46,500 | 거래량:2,387 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:27→11:30: 종가:46,350 | 거래량:2,962 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:30→11:33: 종가:45,850 | 거래량:4,795 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:33→11:36: 종가:45,850 | 거래량:4,634 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:36→11:39: 종가:46,000 | 거래량:3,284 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:39→11:42: 종가:46,100 | 거래량:2,038 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:42→11:45: 종가:46,000 | 거래량:2,974 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:45→11:48: 종가:45,750 | 거래량:3,481 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:48→11:51: 종가:45,600 | 거래량:5,339 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:51→11:54: 종가:45,800 | 거래량:2,366 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:54→11:57: 종가:45,350 | 거래량:13,706 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    11:57→12:00: 종가:45,450 | 거래량:3,055 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:00→12:03: 종가:45,300 | 거래량:2,375 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:03→12:06: 종가:45,050 | 거래량:10,631 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:06→12:09: 종가:44,950 | 거래량:5,420 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:09→12:12: 종가:44,950 | 거래량:6,495 | 🔴회피(이등분선아래) | 신뢰도:0%
    12:12→12:15: 종가:44,700 | 거래량:4,540 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:15→12:18: 종가:45,100 | 거래량:2,538 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:18→12:21: 종가:45,100 | 거래량:2,741 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:21→12:24: 종가:45,300 | 거래량:5,589 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:24→12:27: 종가:45,200 | 거래량:1,773 | 🔴회피(4단계패턴없음) | 신뢰도:0%
    12:27→12:30: 종가:44,900 | 거래량:5,191 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
    12:30→12:33: 종가:44,850 | 거래량:4,682 | 🔴회피(위험신호: BISECTOR_BREAK) | 신뢰도:0%
